"timestamp","symbol","base","price"
"2018-01-02 00:00:00+00","DNT","USD","0.165400000000000000"
"2018-01-02 00:00:00+00","SNGLS","USD","0.285800000000000000"
"2018-01-02 00:00:00+00","FUN","USD","0.094940000000000000"
"2018-01-02 00:00:00+00","BQX","USD","4.600000000000000000"
"2018-01-02 00:00:00+00","1ST","USD","1.240000000000000000"
"2018-01-02 00:00:00+00","EDG","USD","2.890000000000000000"
"2018-01-02 00:00:00+00","RLC","USD","2.080000000000000000"
"2018-01-02 00:00:00+00","WINGS","USD","1.200000000000000000"
"2018-01-02 00:00:00+00","CVC","USD","1.080000000000000000"
"2018-01-02 00:00:00+00","MTL","USD","9.650000000000000000"
"2018-01-02 00:00:00+00","MCO","USD","16.520000000000000000"
"2018-01-02 00:00:00+00","CFI","USD","0.285000000000000000"
"2018-01-02 00:00:00+00","TKN","USD","1.890000000000000000"
"2018-01-02 00:00:00+00","ROL","USD","0.000000000000000000"
"2018-01-02 00:00:00+00","TAAS","USD","6.960000000000000000"
"2018-01-02 00:00:00+00","NMR","USD","37.250000000000000000"
"2018-01-02 00:00:00+00","SAN","USD","6.330000000000000000"
"2018-01-02 00:00:00+00","TRST","USD","0.851600000000000000"
"2018-01-02 00:00:00+00","KNC","USD","3.430000000000000000"
"2018-01-02 00:00:00+00","WGNT","USD","0.000000000000000000"
"2018-01-02 00:00:00+00","ADT","USD","0.111500000000000000"
"2018-01-02 00:00:00+00","LINK","USD","0.663500000000000000"
"2018-01-02 00:00:00+00","FUCK","USD","0.000000000000000000"
"2018-01-02 00:00:00+00","OAX","USD","1.050000000000000000"
"2018-01-02 00:00:00+00","REQ","USD","0.776100000000000000"
"2018-01-02 00:00:00+00","AST","USD","0.543500000000000000"
"2018-01-02 00:00:00+00","KIN","USD","0.000362000000000000"
"2018-01-02 00:00:00+00","ENG","USD","5.100000000000000000"
"2018-01-02 00:00:00+00","SUB","USD","1.200000000000000000"
"2018-01-02 00:00:00+00","AIR","USD","0.030930000000000000"
"2018-01-02 00:00:00+00","WTC","USD","11.210000000000000000"
"2018-01-02 00:00:00+00","SALT","USD","11.880000000000000000"
"2018-01-02 00:00:00+00","PPT","USD","45.460000000000000000"
"2018-01-02 00:00:00+00","POE","USD","0.096340000000000000"
"2018-01-02 00:00:00+00","PTOY","USD","0.672100000000000000"
"2018-01-02 00:00:00+00","MANA","USD","0.104700000000000000"
"2018-01-02 00:00:00+00","RCN","USD","0.379900000000000000"
"2018-01-02 00:00:00+00","FUEL","USD","0.206400000000000000"
"2018-01-02 00:00:00+00","EMB","USD","0.000295100000000000"
"2018-01-02 00:00:00+00","NEWB","USD","0.000000000000000000"
"2018-01-02 00:00:00+00","CAT","USD","0.000000000000000000"
"2018-01-02 00:00:00+00","SPANK","USD","0.249900000000000000"
"2018-01-02 00:00:00+00","TKR","USD","0.086200000000000000"
"2018-01-02 00:00:00+00","WAX","USD","0.000000000000000000"
"2018-01-02 00:00:00+00","AE","USD","1.360000000000000000"
"2018-01-02 00:00:00+00","DOV","USD","0.435300000000000000"
"2018-01-02 00:00:00+00","POW","USD","0.000000000000000000"
"2018-01-03 00:00:00+00","ZRX","USD","0.984300000000000000"
"2018-03-03 00:00:00+00","MKR","USD","984.950000000000000000"
"2018-03-03 00:00:00+00","ARN","USD","2.430000000000000000"
"2017-10-01 00:00:00+00","OMG","USD","9.860000000000000000"
"2017-10-01 00:00:00+00","STORJ","USD","0.499300000000000000"
"2017-10-26 00:00:00+00","GNT","USD","0.193600000000000000"
"2017-10-26 00:00:00+00","ZIL","USD","0.000000000000000000"
"2017-10-26 00:00:00+00","SNGLS","USD","0.160000000000000000"
"2017-10-26 00:00:00+00","DCN","USD","0.000117800000000000"
"2017-10-27 00:00:00+00","VDOC","USD","0.000000000000000000"
"2017-11-23 01:00:00+00","LEND","USD","0.000000000000000000"
"2018-03-22 00:00:00+00","LEND","USD","0.052190000000000000"
"2018-03-22 00:00:00+00","WLK","USD","0.000000000000000000"
"2018-03-22 00:00:00+00","DOV","USD","0.070750000000000000"
"2018-03-22 00:00:00+00","RHOC","USD","1.210000000000000000"
"2018-03-22 00:00:00+00","POW","USD","0.000000000000000000"
"2018-03-22 00:00:00+00","ICX","USD","3.470000000000000000"
"2018-03-22 00:00:00+00","MKR","USD","707.470000000000000000"
"2018-03-22 00:00:00+00","ARN","USD","1.400000000000000000"
"2018-04-02 00:00:00+00","MKRD","USD","0.000000000000000000"
"2018-04-02 00:00:00+00","ZRX","USD","0.518700000000000000"
"2018-04-02 00:00:00+00","LUN","USD","7.220000000000000000"
"2018-04-02 00:00:00+00","EOS","USD","5.600000000000000000"
"2018-04-02 00:00:00+00","GNO","USD","54.970000000000000000"
"2018-04-02 00:00:00+00","BNT","USD","2.230000000000000000"
"2018-04-02 00:00:00+00","DNT","USD","0.054700000000000000"
"2018-04-02 00:00:00+00","BQX","USD","1.900000000000000000"
"2018-04-02 00:00:00+00","RLC","USD","0.812400000000000000"
"2018-04-02 00:00:00+00","WINGS","USD","0.365700000000000000"
"2018-04-02 00:00:00+00","CVC","USD","0.191700000000000000"
"2018-04-02 00:00:00+00","ROL","USD","0.000000000000000000"
"2018-04-02 00:00:00+00","MTL","USD","3.260000000000000000"
"2018-04-02 00:00:00+00","MCO","USD","4.370000000000000000"
"2018-04-02 00:00:00+00","TRST","USD","0.146600000000000000"
"2018-04-02 00:00:00+00","NMR","USD","11.060000000000000000"
"2018-04-02 00:00:00+00","SAN","USD","0.943000000000000000"
"2018-04-02 00:00:00+00","KNC","USD","0.928700000000000000"
"2018-04-02 00:00:00+00","WGNT","USD","0.000000000000000000"
"2018-04-02 00:00:00+00","ADT","USD","0.025040000000000000"
"2018-04-02 00:00:00+00","FUCK","USD","0.000147200000000000"
"2018-04-02 00:00:00+00","OAX","USD","0.444800000000000000"
"2018-04-02 00:00:00+00","AST","USD","0.238300000000000000"
"2018-04-02 00:00:00+00","REQ","USD","0.150600000000000000"
"2018-04-02 00:00:00+00","ENG","USD","1.360000000000000000"
"2018-04-02 00:00:00+00","LINK","USD","0.263200000000000000"
"2018-04-02 00:00:00+00","KIN","USD","0.000169900000000000"
"2018-04-02 00:00:00+00","AIR","USD","0.006697000000000000"
"2018-04-02 00:00:00+00","SALT","USD","1.950000000000000000"
"2018-04-02 00:00:00+00","EMB","USD","0.000026420000000000"
"2018-04-02 00:00:00+00","NEWB","USD","0.002994000000000000"
"2018-04-02 00:00:00+00","CAT","USD","0.485600000000000000"
"2018-04-02 00:00:00+00","EBTC","USD","0.211400000000000000"
"2018-04-11 00:00:00+00","MKRD","USD","0.000000000000000000"
"2018-04-11 00:00:00+00","ZRX","USD","0.567400000000000000"
"2018-04-11 00:00:00+00","REP","USD","24.590000000000000000"
"2018-04-11 00:00:00+00","LUN","USD","8.190000000000000000"
"2018-04-11 00:00:00+00","DGD","USD","209.960000000000000000"
"2018-04-11 00:00:00+00","ANT","USD","2.420000000000000000"
"2018-04-11 00:00:00+00","SNGLS","USD","0.067800000000000000"
"2018-04-11 00:00:00+00","FUN","USD","0.029550000000000000"
"2018-04-11 00:00:00+00","1ST","USD","0.151200000000000000"
"2018-04-11 00:00:00+00","EDG","USD","0.581100000000000000"
"2018-04-11 00:00:00+00","MCO","USD","5.380000000000000000"
"2018-04-11 00:00:00+00","TKN","USD","0.889000000000000000"
"2018-04-11 00:00:00+00","TRST","USD","0.178700000000000000"
"2018-04-11 00:00:00+00","WGNT","USD","0.000000000000000000"
"2018-04-11 00:00:00+00","NMR","USD","12.560000000000000000"
"2018-04-11 00:00:00+00","KNC","USD","1.040000000000000000"
"2018-04-11 00:00:00+00","SAN","USD","0.965000000000000000"
"2018-04-11 00:00:00+00","LINK","USD","0.357400000000000000"
